loan_amnt,funded_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,is_inc_v,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,chargeoff_within_12_mths,tax_liens,,
21000,21000, 60 months,17.58%,528.48,D4,10+ years,MORTGAGE,70000,Verified,Charged Off,credit_card,WA,11.19,0,9/9/1990 02:44,2,10,0,31722,88%,17,0,0,0,,
7500,7500, 36 months,6.03%,228.27,A1,3 years,RENT,52000,Not Verified,Charged Off,renewable_energy,NV,18.51,0,7/8/1984 11:20,0,8,0,22426,65.70%,21,0,0,0,,
35000,35000, 60 months,19.03%,908.5,E2,10+ years,MORTGAGE,65000,Verified,Charged Off,credit_card,NC,11,0,12/16/1999 11:56,1,8,0,28513,66.80%,15,0,0,0,,
5000,5000, 36 months,12.42%,167.08,B4,9 years,RENT,40995,Not Verified,Charged Off,credit_card,OR,19.9,0,11/6/1995 05:38,0,7,0,10220,86.60%,12,0,0,0,,
12000,12000, 36 months,16.29%,423.61,D1,n/a,MORTGAGE,35000,Source Verified,Charged Off,other,TX,12.93,0,8/30/2001 12:04,0,14,0,15006,93.20%,27,0,0,0,,
5725,5725, 36 months,10.65%,186.49,B2,5 years,RENT,24000,Not Verified,Charged Off,debt_consolidation,CA,8.7,0,5/11/2005 02:30,1,6,0,7386,52%,11,0,0,0,,
7000,7000, 36 months,10.65%,228.02,B2,< 1 year,OWN,46500,Source Verified,Charged Off,other,NY,13.06,0,11/21/1998 11:05,2,5,0,9461,75.70%,17,0,0,0,,
12000,12000, 36 months,14.27%,411.71,C2,8 years,MORTGAGE,61000,Source Verified,Charged Off,debt_consolidation,CA,12.89,0,10/10/2005 02:29,1,6,0,12431,72.30%,11,0,0,0,,
10375,10375, 36 months,15.96%,364.55,C5,1 year,OWN,40000,Verified,Charged Off,credit_card,MD,23.97,0,11/23/2002 03:39,1,16,0,16783,67.10%,36,0,0,0,,
27575,27575, 60 months,12.69%,623.05,B5,1 year,RENT,91200,Verified,Charged Off,credit_card,CA,27.69,0,8/4/1995 04:07,0,13,0,45053,44.20%,29,0,0,0,,
20000,20000, 60 months,20.89%,539.84,F1,< 1 year,RENT,80000,Verified,Charged Off,debt_consolidation,CA,21.45,0,10/5/2003 04:44,2,7,0,19773,90.70%,10,0,0,0,,
23675,23675, 60 months,19.42%,619.63,E3,8 years,RENT,55000,Verified,Charged Off,debt_consolidation,CA,16.1,0,8/17/1989 02:28,1,12,0,12201,87.10%,22,0,0,0,,
17500,16800, 60 months,22.74%,471.1,G1,6 years,MORTGAGE,95000,Verified,Charged Off,debt_consolidation,WA,24.78,0,1/30/2002 07:50,1,12,0,23722,76.30%,23,0,0,0,,
25000,25000, 60 months,18.64%,643.58,E1,10+ years,RENT,60000,Source Verified,Charged Off,debt_consolidation,CA,20.48,0,1/23/1999 12:52,0,6,0,10887,90.70%,8,0,0,0,,
8475,8475, 36 months,15.27%,294.92,C4,7 years,RENT,55000,Verified,Charged Off,debt_consolidation,TX,24.02,0,2/11/1996 11:23,1,11,0,12279,68.20%,29,0,0,0,,
35000,35000, 60 months,23.13%,989.29,G2,< 1 year,MORTGAGE,90000,Verified,Charged Off,debt_consolidation,SC,24.12,0,11/10/1994 12:17,3,18,0,22377,92.50%,43,0,0,0,,
14400,14400, 36 months,10.65%,469.06,B2,6 years,OWN,39500,Verified,Charged Off,credit_card,CA,14.62,0,1/18/2004 05:00,0,5,0,8361,84.50%,10,0,0,0,,
8000,8000, 36 months,11.71%,264.61,B3,10+ years,MORTGAGE,45000,Source Verified,Charged Off,debt_consolidation,IL,24.69,0,9/3/1999 07:08,2,10,0,13723,62.60%,28,0,0,0,,
15000,15000, 36 months,12.42%,501.23,B4,10+ years,RENT,50000,Verified,Charged Off,debt_consolidation,NY,9.67,0,4/17/2000 08:33,0,8,0,8486,88.90%,16,0,0,0,,
17500,17500, 60 months,18.64%,450.51,E1,4 years,RENT,35000,Verified,Charged Off,credit_card,OR,19.78,0,3/16/2000 12:07,0,7,0,20237,96.40%,11,0,0,0,,
5000,5000, 36 months,12.42%,167.08,B4,2 years,RENT,50000,Source Verified,Charged Off,debt_consolidation,CA,3.55,0,5/11/2001 12:18,3,4,1,4497,54.80%,7,1,0,0,,
16800,16800, 36 months,14.65%,579.51,C3,10+ years,MORTGAGE,94000,Not Verified,Charged Off,debt_consolidation,GA,7.69,0,1/3/1992 10:07,1,12,0,20975,82.30%,23,0,0,0,,
12000,12000, 36 months,6.62%,368.45,A2,3 years,RENT,52000,Not Verified,Charged Off,debt_consolidation,CA,15.02,0,1/28/1998 02:03,0,9,0,18913,43.20%,15,0,0,0,,
24000,24000, 60 months,18.64%,617.83,E1,10+ years,MORTGAGE,48000,Verified,Charged Off,debt_consolidation,CO,14.08,0,7/30/2001 11:37,3,15,0,20266,71.60%,44,0,0,0,,
12800,8625, 60 months,17.27%,215.61,D3,5 years,RENT,70000,Source Verified,Charged Off,debt_consolidation,CA,10.7,0,4/21/2005 03:01,2,4,0,6107,88.50%,18,0,0,0,,
18000,18000, 36 months,9.91%,580.05,B1,< 1 year,RENT,55000,Verified,Charged Off,moving,TX,2.84,0,4/24/1999 12:31,3,4,0,7783,49.30%,15,0,0,0,,
5600,5600, 36 months,12.69%,187.86,B5,6 years,RENT,56000,Verified,Charged Off,debt_consolidation,NY,22.39,2,3/25/1999 12:24,3,18,1,8676,62.70%,31,1,0,0,,
5000,5000, 36 months,10.65%,162.87,B2,10+ years,OWN,42000,Not Verified,Charged Off,car,IL,16.23,0,1/13/2001 09:22,0,8,0,18468,81.70%,10,0,0,0,,
21000,21000, 60 months,17.58%,528.48,D4,10+ years,OWN,65000,Verified,Charged Off,debt_consolidation,KS,19.99,0,4/29/1998 11:26,0,7,0,32243,93.20%,23,0,0,0,,
20775,20775, 36 months,17.58%,746.7,D4,3 years,MORTGAGE,70000,Verified,Charged Off,debt_consolidation,NM,21.31,0,12/11/1995 11:30,1,14,0,20695,85.90%,36,0,0,0,,
10025,10025, 60 months,21.67%,275.01,F3,< 1 year,RENT,31000,Source Verified,Charged Off,small_business,FL,13.08,0,7/12/2007 06:20,0,7,0,8675,65.70%,10,0,0,0,,
20000,20000, 60 months,24.11%,576.64,G5,10+ years,MORTGAGE,120000,Verified,Charged Off,other,NC,18.26,0,11/11/2001 01:27,1,12,0,62623,99.70%,21,0,0,0,,
28000,28000, 36 months,7.90%,876.13,A4,4 years,RENT,59000,Verified,Charged Off,small_business,TX,13.83,0,5/10/2002 02:19,1,8,0,553,2.30%,12,0,0,0,,
6400,6400, 36 months,14.65%,220.77,C3,10+ years,RENT,60000,Source Verified,Charged Off,small_business,FL,9.68,0,7/24/2002 10:07,1,9,0,8867,75.10%,12,0,0,0,,
4000,4000, 36 months,11.71%,132.31,B3,10+ years,RENT,38700,Source Verified,Charged Off,other,NC,18.64,0,1/17/1995 11:50,0,4,0,4737,72.90%,11,0,0,0,,
12000,12000, 36 months,7.51%,373.33,A3,2 years,RENT,35000,Not Verified,Charged Off,debt_consolidation,MO,15.15,0,2/26/1993 12:23,2,6,0,12957,48.80%,16,0,0,0,,
16000,10225, 60 months,12.69%,231.04,B5,10+ years,RENT,320400,Source Verified,Charged Off,debt_consolidation,GA,2.28,0,7/10/1996 02:08,0,7,0,15196,61.50%,10,0,0,0,,
16000,11100, 60 months,10.65%,239.41,B2,n/a,RENT,36000,Verified,Charged Off,debt_consolidation,CT,14.7,0,8/18/2000 07:42,0,8,0,5165,15.20%,24,0,0,0,,
5000,5000, 36 months,12.42%,167.08,B4,6 years,MORTGAGE,100000,Not Verified,Charged Off,major_purchase,FL,9.62,0,12/14/1989 03:57,0,4,0,14502,92.40%,17,0,0,0,,
16450,16450, 60 months,20.89%,444.02,F1,7 years,RENT,40000,Source Verified,Charged Off,debt_consolidation,UT,21.21,0,11/16/2000 04:48,2,4,0,6441,92%,19,0,0,0,,
4800,4800, 36 months,12.69%,161.02,B5,6 years,MORTGAGE,48000,Verified,Charged Off,home_improvement,NM,4,0,6/25/1999 08:34,3,4,1,1361,64.80%,7,1,0,0,,
1000,1000, 36 months,19.03%,36.68,E2,n/a,OWN,31800,Not Verified,Charged Off,other,HI,21.85,0,4/8/2008 10:33,0,2,0,0,,4,0,0,0,,
28000,28000, 60 months,22.35%,778.92,F5,1 year,MORTGAGE,71000,Verified,Charged Off,debt_consolidation,AL,10.53,0,4/23/1994 02:29,1,9,0,13241,78.80%,32,0,0,0,,
18000,10950, 60 months,15.27%,262.06,C4,10+ years,RENT,65000,Source Verified,Charged Off,debt_consolidation,NH,22.14,0,10/6/1991 06:45,1,12,0,9174,55.80%,27,0,0,0,,
31500,31500, 60 months,21.28%,857.15,F2,1 year,MORTGAGE,172000,Source Verified,Charged Off,small_business,TX,9.59,0,7/27/1999 09:22,2,8,1,4729,94.60%,18,1,0,0,,
16375,16375, 60 months,12.69%,369.99,B5,10+ years,RENT,49000,Source Verified,Charged Off,debt_consolidation,GA,17.68,0,8/5/1997 01:01,2,9,0,10067,48.50%,19,0,0,0,,
24400,24400, 60 months,17.27%,609.96,D3,3 years,RENT,72000,Source Verified,Charged Off,small_business,CA,15.98,0,2/12/1998 04:44,1,7,0,13879,59.80%,15,0,0,0,,
12000,12000, 60 months,15.96%,291.57,C5,< 1 year,RENT,24000,Source Verified,Charged Off,other,WA,15.15,0,9/17/2006 03:26,2,3,0,2477,70.80%,5,0,0,0,,
7000,7000, 36 months,8.90%,222.28,A5,2 years,MORTGAGE,21804,Source Verified,Charged Off,debt_consolidation,OK,6.38,0,3/21/2006 06:01,1,8,0,5147,45.50%,15,0,0,0,,
3125,3125, 36 months,13.49%,106.04,C1,2 years,RENT,54000,Not Verified,Charged Off,credit_card,CA,19.42,0,2/24/1988 02:00,1,14,0,6946,56.90%,43,0,0,0,,
15750,15750, 36 months,8.90%,500.12,A5,n/a,OWN,78000,Verified,Charged Off,medical,SC,13.2,0,1/13/1973 02:05,4,9,0,11893,39.30%,14,0,0,0,,
21000,21000, 36 months,12.42%,701.73,B4,10+ years,RENT,49200,Verified,Charged Off,small_business,CA,8.54,0,3/3/1998 02:12,0,5,0,6867,80.80%,15,0,0,0,,
13000,13000, 36 months,8.90%,412.8,A5,3 years,MORTGAGE,50000,Not Verified,Charged Off,debt_consolidation,IL,17.14,0,7/20/2000 04:04,2,9,0,18045,52%,32,0,0,0,,
10750,10750, 60 months,13.49%,247.31,C1,< 1 year,MORTGAGE,52000,Verified,Charged Off,debt_consolidation,CO,24.51,0,12/17/1983 05:02,1,18,0,11650,27.20%,54,0,0,0,,
19200,19200, 60 months,20.30%,511.9,E5,10+ years,MORTGAGE,150000,Source Verified,Charged Off,debt_consolidation,GA,6.18,0,4/22/2000 09:29,2,10,0,17541,89%,19,0,0,0,,
35000,35000, 36 months,17.58%,1257.98,D4,6 years,RENT,145000,Verified,Charged Off,debt_consolidation,NY,10.06,0,9/22/1994 12:49,1,17,0,23796,58.10%,27,0,0,0,,
20000,20000, 60 months,15.27%,478.64,C4,7 years,MORTGAGE,72630,Verified,Charged Off,debt_consolidation,MO,20.8,0,1/10/1991 12:28,2,13,0,18330,40.20%,62,0,0,0,,
25500,25500, 60 months,13.49%,586.62,C1,10+ years,MORTGAGE,51000,Verified,Charged Off,small_business,FL,8.92,0,2/18/2001 07:06,1,18,0,6295,13.30%,31,0,0,0,,
20000,20000, 60 months,12.69%,451.9,B5,10+ years,MORTGAGE,68000,Verified,Charged Off,debt_consolidation,OH,7.8,0,4/24/1994 11:08,1,6,0,19464,83.50%,21,0,0,0,,
6000,6000, 36 months,8.90%,190.52,A5,7 years,RENT,43000,Not Verified,Charged Off,credit_card,TX,21.46,0,2/16/2001 10:54,0,6,0,21013,94.20%,16,0,0,0,,
8175,8175, 36 months,16.29%,288.59,D1,2 years,MORTGAGE,122400,Not Verified,Charged Off,debt_consolidation,MD,14.31,0,11/4/1997 11:05,3,10,0,2915,26.50%,16,0,0,0,,
13325,13325, 36 months,12.42%,445.26,B4,7 years,MORTGAGE,164000,Not Verified,Charged Off,other,UT,20.52,0,5/23/1996 01:43,0,9,0,26781,25.60%,37,0,0,0,,
7000,7000, 60 months,19.03%,181.7,E2,10+ years,MORTGAGE,60000,Source Verified,Charged Off,major_purchase,NC,19.34,0,7/21/2000 04:42,3,11,0,7783,91.60%,19,0,0,0,,
5000,5000, 36 months,12.69%,167.73,B5,2 years,RENT,70000,Not Verified,Charged Off,debt_consolidation,CA,2.85,0,1/24/2000 03:59,2,6,0,5785,57.80%,9,0,0,0,,
20000,20000, 60 months,12.69%,451.9,B5,10+ years,MORTGAGE,85000,Source Verified,Charged Off,small_business,CA,4.9,0,8/2/1998 02:31,2,8,0,19841,47.40%,25,0,0,0,,
24925,24925, 60 months,19.03%,646.98,E2,10+ years,OWN,52494,Verified,Charged Off,credit_card,CA,22.91,0,5/29/1976 05:07,0,11,0,26741,95.80%,20,0,0,0,,
9375,9375, 36 months,6.62%,287.85,A2,8 years,MORTGAGE,85000,Not Verified,Charged Off, now applying for a second to totally wipe my credit card debt.  I have excellent credit history and have a rock solid job in information technology.<br><br>  Borrower added on 12/27/11 > 3 of my 4 credit cards are wiped clean.  Zero balance!  1 more balance to go.  Thanks for picking my loan.  This loan will make life much more comfortable.  Thanks again &amp,Debt Consol 2,,,0,0,,,0,,44.20%,,0,0,1,
20000,20000, 60 months,17.27%,499.96,D3,9 years,RENT,50000,Verified,Charged Off,debt_consolidation,CA,18.17,0,3/25/2000 05:21,1,16,0,30686,50.10%,31,0,0,0,,
20000,20000, 60 months,19.91%,528.88,E4,4 years,RENT,54996,Verified,Charged Off,debt_consolidation,OH,13.75,1,11/20/2000 06:01,2,8,0,3163,41.10%,15,0,0,0,,
18000,18000, 60 months,19.42%,471.1,E3,10+ years,MORTGAGE,46460,Verified,Charged Off,other,NC,12.91,0,3/6/1998 08:08,0,7,0,7804,52.40%,30,0,0,0,,
15000,15000, 60 months,19.91%,396.66,E4,< 1 year,RENT,31200,Source Verified,Charged Off,debt_consolidation,NM,19.42,1,10/25/1994 01:41,0,6,0,14525,96.80%,24,0,0,0,,
6000,6000, 36 months,14.65%,206.97,C3,5 years,RENT,40000,Not Verified,Charged Off,debt_consolidation,NY,15.87,0,1/21/2001 01:02,1,7,1,5881,49.80%,16,1,0,0,,
2800,2800, 36 months,13.49%,95.01,C1,7 years,RENT,36000,Not Verified,Charged Off,debt_consolidation,NC,7.83,0,1/30/2005 02:51,2,4,1,615,87.90%,6,1,0,0,,
20000,20000, 60 months,14.27%,468.17,C2,1 year,RENT,39996,Verified,Charged Off,other,MI,17.97,0,10/22/2001 08:59,4,10,0,5256,19.70%,15,0,0,0,,
20000,20000, 60 months,20.89%,539.84,F1,10+ years,RENT,65000,Verified,Charged Off,debt_consolidation,PA,24.55,1,6/5/1999 05:15,3,15,0,23402,44.20%,46,0,0,0,,
27575,27575, 60 months,12.69%,623.05,B5,4 years,RENT,58000,Verified,Charged Off,debt_consolidation,MD,27.02,0,12/4/1998 09:13,0,11,0,10803,56%,23,0,0,0,,
10000,10000, 36 months,10.65%,325.74,B2,5 years,MORTGAGE,50000,Verified,Charged Off,credit_card,CA,22.47,0,8/3/1970 02:51,3,10,0,33134,48.40%,18,0,0,0,,
28000,28000, 60 months,18.25%,714.83,D5,10+ years,RENT,83000,Verified,Charged Off,debt_consolidation,CA,22.58,0,10/22/1995 11:58,0,5,0,2368,47.40%,38,0,0,0,,
16000,16000, 36 months,8.90%,508.06,A5,10+ years,MORTGAGE,84000,Not Verified,Charged Off,credit_card,CT,25.29,0,3/26/1995 06:33,2,14,0,28932,52.50%,32,0,0,0,,
30000,30000, 60 months,21.28%,816.34,F2,5 years,MORTGAGE,70000,Source Verified,Charged Off,debt_consolidation,FL,19.19,2,3/4/1982 06:52,1,11,1,12692,37.80%,25,1,0,0,,
8400,8400, 36 months,14.27%,288.2,C2,4 years,RENT,40000,Not Verified,Charged Off,debt_consolidation,CA,21.12,1,12/24/2000 11:10,0,5,1,4205,77.90%,17,1,0,0,,
12000,12000, 36 months,9.91%,386.7,B1,8 years,MORTGAGE,140000,Source Verified,Charged Off,debt_consolidation,FL,13.92,5,12/13/1997 06:45,0,13,0,6698,62%,49,0,0,0,,
15000,15000, 36 months,9.91%,483.38,B1,8 years,MORTGAGE,75000,Verified,Charged Off,debt_consolidation,NJ,4.38,0,7/24/1995 04:28,1,13,0,13167,42.10%,27,0,0,0,,
8875,8875, 36 months,12.42%,296.57,B4,< 1 year,MORTGAGE,30000,Verified,Charged Off,moving,CA,5.24,0,12/14/2002 04:16,0,4,1,2820,61.60%,9,1,0,0,,
6000,6000, 36 months,12.42%,200.5,B4,< 1 year,RENT,50000,Source Verified,Charged Off,debt_consolidation,NM,5.52,0,4/13/2003 02:50,1,4,0,205,15.80%,13,0,0,0,,
12600,12600, 60 months,12.42%,282.97,B4,n/a,MORTGAGE,25200,Verified,Charged Off,major_purchase,AZ,0.71,0,7/9/1992 05:53,1,7,0,83,0.60%,15,0,0,0,,
20000,20000, 36 months,14.27%,686.18,C2,10+ years,RENT,58000,Verified,Charged Off,debt_consolidation,CT,16.94,0,6/3/2001 05:13,0,13,0,13734,89.80%,17,0,0,0,,
10000,10000, 36 months,13.49%,339.31,C1,10+ years,OWN,45000,Source Verified,Charged Off,credit_card,FL,20.59,0,11/19/1991 06:19,2,8,0,11785,86%,20,0,0,0,,
25975,25975, 60 months,16.77%,642.34,D2,10+ years,MORTGAGE,110000,Verified,Charged Off,debt_consolidation,NJ,22.32,0,11/28/1988 07:21,2,19,0,69555,40.80%,53,0,0,0,,
5000,5000, 36 months,14.65%,172.48,C3,2 years,RENT,87000,Not Verified,Charged Off,moving,CA,11.92,0,2/26/1989 07:28,1,4,0,16708,87%,19,0,0,0,,
8000,8000, 36 months,11.14%,262.45,B2,3 years,RENT,150000,Source Verified,Charged Off,credit_card,FL,8.7,0,3/19/2003 09:32,0,7,0,6059,89.10%,15,0,0,0,,
15000,15000, 36 months,15.27%,521.97,C4,3 years,RENT,60600,Source Verified,Charged Off,debt_consolidation,SC,10.73,0,1/14/2003 06:17,2,12,0,16550,59.70%,16,0,0,0,,
30000,30000, 60 months,18.64%,772.29,E1,10+ years,RENT,63600,Verified,Charged Off,debt_consolidation,VA,14.07,0,9/2/1999 07:33,3,8,0,10668,49.60%,21,0,0,0,,
21850,21850, 60 months,24.11%,629.98,G5,10+ years,MORTGAGE,45000,Source Verified,Charged Off,debt_consolidation,NY,17.71,1,8/18/1996 09:29,0,4,0,11180,98.90%,10,0,0,0,,
24375,24375, 36 months,9.91%,785.49,B1,10+ years,RENT,75000,Verified,Charged Off,small_business,FL,18.34,0,6/4/1999 12:19,0,10,0,11658,53.20%,30,0,0,0,,
2800,2800, 36 months,13.49%,95.01,C1,3 years,RENT,38400,Not Verified,Charged Off,debt_consolidation,CA,18.84,0,5/29/2000 03:35,0,3,0,253,36.10%,21,0,0,0,,
16425,16425, 60 months,14.27%,384.49,C2,4 years,MORTGAGE,35000,Verified,Charged Off,small_business,MT,12.48,0,8/3/1999 03:53,0,5,0,3316,36.80%,18,0,0,0,,
4000,4000, 36 months,7.90%,125.17,A4,1 year,RENT,35000,Not Verified,Charged Off,car,NY,18.41,0,8/17/2002 05:56,1,13,0,15766,61.30%,24,0,0,0,,
20000,20000, 60 months,13.49%,460.1,C1,10+ years,OWN,55000,Verified,Charged Off,debt_consolidation,AL,10.97,0,8/27/2000 06:40,0,3,0,5797,82.80%,6,0,0,0,,
18250,18250, 60 months,19.03%,473.72,E2,6 years,RENT,65000,Source Verified,Charged Off,debt_consolidation,VA,20.57,1,6/5/1993 08:47,0,13,0,20912,58.50%,43,0,0,0,,
25000,25000, 60 months,20.30%,666.53,E5,10+ years,RENT,65000,Verified,Charged Off,small_business,CA,14.03,0,2/12/1999 05:58,2,3,0,13667,91.70%,14,0,0,0,,
35000,35000, 36 months,10.65%,1140.07,B2,10+ years,MORTGAGE,75000,Verified,Charged Off,debt_consolidation,MI,14.61,0,5/26/1989 09:32,2,15,0,26705,39.90%,50,0,0,0,,
2100,2100, 36 months,10.65%,68.41,B2,6 years,RENT,60000,Not Verified,Charged Off,medical,FL,13.24,1,10/12/2003 08:03,0,6,0,141,5.60%,10,0,0,0,,
16000,16000, 36 months,13.49%,542.89,C1,4 years,RENT,120000,Source Verified,Charged Off,debt_consolidation,NY,3.12,0,8/14/1997 08:58,1,10,0,18108,69.40%,17,0,0,0,,
1500,1500, 36 months,6.03%,45.66,A1,2 years,OWN,30000,Not Verified,Charged Off,other,FL,12.74,0,8/12/1986 09:30,0,12,0,19042,26.30%,19,0,0,0,,
6000,6000, 36 months,16.77%,213.24,D2,n/a,OWN,29000,Not Verified,Charged Off,debt_consolidation,NY,6.21,0,6/24/1995 11:07,1,3,0,4697,82.40%,4,0,0,0,,
35000,35000, 60 months,12.69%,790.82,B5,6 years,MORTGAGE,68000,Verified,Charged Off,other,DE,8.58,0,10/16/1985 10:52,3,16,0,7504,12.30%,36,0,0,0,,
12000,12000, 60 months,17.27%,299.98,D3,9 years,MORTGAGE,79992,Source Verified,Charged Off,other,NY,15.35,0,8/10/1982 07:53,1,6,0,613,2.10%,26,0,0,0,,
15000,15000, 60 months,19.42%,392.59,E3,5 years,MORTGAGE,109000,Verified,Charged Off,debt_consolidation,NY,13.27,1,12/17/1999 02:43,1,6,0,21205,93%,14,0,0,0,,
10200,10200, 36 months,14.27%,349.96,C2,< 1 year,RENT,133000,Source Verified,Charged Off,debt_consolidation,CA,11.47,0,2/19/2002 12:08,0,7,0,18331,99.10%,17,0,0,0,,
28000,28000, 60 months,22.35%,778.92,F5,1 year,MORTGAGE,143000,Verified,Charged Off,small_business,SC,23.66,0,3/2/2003 05:46,3,14,0,21341,84.70%,33,0,0,0,,
28000,28000, 36 months,7.90%,876.13,A4,3 years,MORTGAGE,180000,Verified,Charged Off,home_improvement,CT,7.6,0,5/8/1995 07:05,0,13,0,202,1.90%,23,0,0,0,,
20000,20000, 36 months,11.71%,661.52,B3,< 1 year,MORTGAGE,186000,Source Verified,Charged Off,credit_card,GA,9.88,0,3/24/1990 04:53,0,15,0,4126,14.40%,32,0,0,0,,
30000,30000, 60 months,21.67%,822.95,F3,7 years,MORTGAGE,96000,Verified,Charged Off,home_improvement,NY,22.88,0,6/30/2000 12:04,3,15,0,8538,46.90%,30,0,0,0,,
9600,9600, 36 months,15.96%,337.32,C5,n/a,RENT,35000,Verified,Charged Off,credit_card,MO,13.89,0,10/27/2006 08:40,2,12,0,18840,61.80%,16,0,0,0,,
5600,5600, 36 months,12.69%,187.86,B5,3 years,RENT,33737.6,Not Verified,Charged Off,small_business,CA,21.02,0,4/10/2004 11:42,1,7,1,1501,65.30%,17,0,0,0,,
8000,8000, 36 months,12.69%,268.36,B5,10+ years,RENT,54000,Not Verified,Charged Off,debt_consolidation,TX,10.64,0,2/20/2002 11:53,0,4,0,5690,79%,14,0,0,0,,
4000,4000, 36 months,12.42%,133.67,B4,10+ years,RENT,35000,Not Verified,Charged Off,other,NY,22.05,0,12/17/2002 01:54,1,8,0,10908,77.80%,9,0,0,0,,
7000,7000, 36 months,12.69%,234.82,B5,3 years,RENT,36960,Source Verified,Charged Off,debt_consolidation,AL,11.69,1,12/1/2005 11:58,2,9,0,7971,33.10%,15,0,0,0,,
15000,15000, 36 months,16.77%,533.08,D2,2 years,MORTGAGE,65000,Not Verified,Charged Off,small_business,FL,20.4,0,9/19/2002 12:54,0,12,1,14621,80.80%,25,0,0,0,,
13650,13650, 36 months,11.71%,451.49,B3,8 years,RENT,45000,Not Verified,Charged Off,debt_consolidation,MO,17.41,0,2/2/1994 03:15,0,7,0,44227,66.60%,18,0,0,0,,
12500,12500, 60 months,11.71%,276.23,B3,10+ years,MORTGAGE,92000,Source Verified,Charged Off,major_purchase,TX,10.28,0,3/14/1999 10:47,3,5,0,0,0%,27,0,0,0,,
16425,16425, 60 months,13.49%,377.86,C1,3 years,RENT,50000,Not Verified,Charged Off,debt_consolidation,CA,24.96,0,7/15/1998 12:59,0,9,0,27205,66.80%,22,0,0,0,,
